城市名称,经度,纬度
神农,110.475586 ,31.594460 
长沙,113.152959 ,28.229513 
株洲,113.519553 ,27.116393 
湘潭,112.530369 ,27.704910 
衡阳,112.573420 ,26.792530 
邵阳,110.915651 ,26.872617 
岳阳,113.255373 ,29.064540 
常德,111.523851 ,29.297441 
张家界,110.529991 ,29.392047 
益阳,111.808649 ,28.333433 
郴州,113.134840 ,25.811700 
永州,111.769541 ,25.690873 
怀化,110.069226 ,27.542730 
娄底,111.208382 ,27.858884 
湘西,109.727290 ,28.693260 
广州,113.535310 ,23.357246 
韶关,113.772863 ,24.817502 
深圳,113.981097 ,22.661217 
珠海,113.251443 ,22.161989 
汕头,116.555530 ,23.330681 
佛山,112.945082 ,23.012775 
江门,112.667788 ,22.298084 
湛江,110.303802 ,20.464033 
茂名,110.952666 ,22.015237 
肇庆,112.202555 ,23.539726 
惠州,114.497757 ,23.245028 
梅州,116.078669 ,24.201815 
汕尾,115.532048 ,23.015488 
河源,114.957578 ,24.041916 
阳江,111.774205 ,22.038302 
清远,112.875910 ,24.311465 
东莞,113.877718 ,22.985248 
中山,113.389491 ,22.522114 
潮州,116.768451 ,23.798499 
揭阳,116.116729 ,23.337536 
云浮,111.791609 ,22.864599 
南宁,108.464016 ,23.058413 
柳州,109.379697 ,24.937061 
桂林,110.511767 ,25.351945 
梧州,110.973372 ,23.200293 
北海,109.335613 ,21.679399 
防城港,108.002510 ,21.882239 
钦州,109.024508 ,22.183301 
贵港,109.998176 ,23.310032 
玉林,110.182564 ,22.442870 
百色,107.035773 ,23.661488 
贺州,111.360037 ,24.358816 
河池,107.840099 ,24.644518 
来宾,109.427328 ,23.642075 
崇左,107.275594 ,22.502504 
海口,110.425852 ,19.831096 
三亚,109.417993 ,18.392068 
五指,,
琼海,,
儋州,,
文昌,,
万宁,,
东方,,
定安,,
屯昌,,
澄迈,,
临高,,
白沙,,
昌江,,
乐东,,
陵水,,
保亭,,
琼中,,
重庆,107.864385 ,30.055374 
成都,103.501068 ,30.508688 
自贡,104.961214 ,29.221795 
攀枝花,101.731413 ,26.806194 
泸州,105.462114 ,28.550865 
德阳,104.430668 ,31.133976 
绵阳,104.705358 ,31.846863 
广元,105.779659 ,32.260691 
遂宁,105.470484 ,30.631113 
内江,104.907949 ,29.641108 
乐山,103.532404 ,29.178283 
南充,106.204344 ,31.195942 
眉山,103.641301 ,30.061930 
宜宾,104.635831 ,28.571277 
广安,106.663515 ,30.424938 
达州,107.642724 ,31.363940 
雅安,102.661567 ,29.913642 
巴中,107.038189 ,32.015597 
资阳,104.953341 ,30.180276 
阿坝,102.619810 ,32.373824 
甘孜,100.035462 ,30.902046 
凉山,102.075568 ,27.885571 
贵阳,106.707306 ,26.842993 
六盘水,104.651763 ,25.854751 
遵义,107.086352 ,28.167662 
安顺,105.951366 ,25.995682 
毕节,105.210245 ,27.068433 
铜仁,108.544585 ,27.968721 
铜仁,108.544585 ,27.968721 
黔西南,105.464451 ,25.266144 
毕节,105.210245 ,27.068433 
黔东南,108.557001 ,26.502326 
黔南,107.251291 ,26.014223 
昆明,102.875102 ,25.385298 
曲靖,103.938952 ,25.701321 
玉溪,102.678677 ,24.227228 
保山,98.972573 ,24.979054 
昭通,103.998145 ,27.652586 
丽江,100.524833 ,26.941914 
普洱,100.718373 ,23.185917 
临沧,99.633436 ,23.821940 
楚雄,101.569615 ,25.351578 
红河,103.034686 ,23.438187 
文山,104.713403 ,23.691557 
西双版纳,100.869367 ,22.127076 
大理,100.039303 ,25.728641 
德宏,98.090337 ,24.559028 
怒江,99.299099 ,26.674851 
迪庆,99.442071 ,27.957045 
拉萨,91.102880 ,30.033452 
昌都,97.637399 ,30.834800 
山南,91.690787 ,28.722609 
日喀则,86.399385 ,29.539923 
那曲,88.876819 ,32.953170 
阿里,82.082911 ,33.082274 
林芝,95.382409 ,29.858724 
西安,108.789504 ,34.110782 
铜川,109.175339 ,35.298121 
宝鸡,107.201964 ,34.378313 
咸阳,108.449413 ,34.827231 
渭南,109.856936 ,34.951823 
延安,109.320506 ,36.437659 
汉中,107.104141 ,33.088908 
榆林,109.553991 ,38.037981 
安康,108.929656 ,32.757398 
商洛,109.898496 ,33.649088 
兰州,103.638543 ,36.348906 
嘉峪关,98.195783 ,39.816487 
金昌,102.050097 ,38.426927 
白银,105.025181 ,36.245205 
天水,105.740150 ,34.650472 
武威,103.051346 ,38.169083 
张掖,99.901720 ,38.923585 
平凉,107.228487 ,35.204490 
酒泉,96.225551 ,40.458181 
庆阳,107.594395 ,36.164800 
定西,104.450809 ,35.118872 
陇南,105.209135 ,33.593883 
临夏,103.277633 ,35.629390 
甘南,102.697645 ,34.900637 
西宁,101.451114 ,36.814294 
海东,102.339747 ,36.332543 
海北,100.276437 ,37.802510 
果洛,99.398753 ,34.112797 
黄南州,101.627684 ,35.027411 
海南州,100.256246 ,35.949803 
玉树州,93.687277 ,34.127986 
海西州,95.096555 ,37.297122 
银川,106.341245 ,38.219284 
石嘴山,106.517789 ,38.975501 
吴忠,107.056493 ,37.628450 
固原,106.182674 ,35.949387 
中卫,105.706395 ,36.569345 
乌鲁木齐,87.809463 ,43.531305 
克拉玛依,85.244088 ,45.606783 
吐鲁番,89.840891 ,42.383991 
哈密,93.499590 ,43.035900 
昌吉,88.548014 ,44.359455 
博尔塔拉,82.117808 ,44.730796 
巴音郭楞,87.476425 ,39.470883 
阿克苏,81.528576 ,40.954733 
喀什,77.189182 ,38.150717 
和田,80.867631 ,37.067329 
伊犁,82.028575 ,43.428274 
塔城,83.714790 ,45.374869 
阿勒泰,88.419553 ,46.898339 
克孜,,
五家,,
石河,,
图木,,
香港,114.033479 ,22.419176 
澳门,113.571250 ,22.126944 
台湾省,,
