投资方所在城市,融资方所在城市
宁波,上海
北京,天津
上海,杭州
广州,深圳
北京,宁波
北京,上海
北京,广州
西安,嘉兴
青岛,深圳
厦门,上海
新余,深圳
上海,北京
上海,青岛
北京,宁波
深圳,武汉
北京,重庆
苏州,上海
深圳,广州
深圳,成都
喀什地区,深圳
南京,伊犁哈萨克自治州
北京,贵阳
深圳,重庆
新余,上海
北京,天津
上海,宁波
上海,无锡
上海,南京
苏州,上海
珠海,上海
深圳,上海
广州,北京
上海,哈尔滨
上海,南宁
郑州,北京
青岛,新余
绍兴,杭州
拉萨,杭州
拉萨,成都
北京,金华
深圳,福州
厦门,深圳
杭州,湖州
东莞,深圳
深圳,北京
广州,深圳
济南,青岛
北京,西安
上海,成都
上海,南通
上海,南京
重庆,成都
北京,沈阳
杭州,上海
北京,杭州
北京,深圳
九江,北京
上海,泰州
南京,宁波
济南,北京
北京,宜春
深圳,烟台
福州,上海
天津,北京
东莞,深圳
北京,天津
深圳,东莞
深圳,北京
深圳,南京
北京,上海
广州,珠海
北京,天津
北京,天津
上海,北京
上海,青岛
北京,苏州
深圳,北京
深圳,广州
上海,昆明
上海,丽水
青岛,济南
石家庄,北京
杭州,衢州
北京,呼和浩特
深圳,佛山
武汉,上海
厦门,泉州
上海,南通
乌鲁木齐,阿克苏地区
长沙,深圳
北京,天津
深圳,上海
北京,青岛
济南,青岛
天津,芜湖
北京,天津
北京,青岛
北京,武汉
舟山,杭州
上海,广州
深圳,郑州
拉萨,苏州
上海,苏州
上海,台州
上海,海口
嘉兴,宁波
杭州,台州
长沙,上海
北京,温州
北京,保定
深圳,萍乡
深圳,沈阳
重庆,成都
苏州,上海
深圳,上海
北京,天津
南京,上海
北京,济南
深圳,成都
达州,成都
上海,广州
成都,深圳
北京,石家庄
北京,深圳
温州,上海
深圳,北京
北京,武汉
北京,西安
北京,太原
深圳,武汉
上海,北京
苏州,深圳
嘉兴,杭州
宁波,嘉兴
成都,宁波
大连,北京
北京,金华
北京,廊坊
深圳,上海
北京,上海
苏州,上海
郑州,周口
哈尔滨,佳木斯
北京,武汉
北京,郑州
北京,大连
深圳,长沙
深圳,惠州
北京,深圳
上海,北京
上海,合肥
深圳,长沙
成都,上海
广州,北京
北京,杭州
北京,成都
北京,深圳
深圳,上海
杭州,宁波
北京,杭州
北京,天津
北京,石家庄
北京,深圳
重庆,深圳
上海,乌鲁木齐
南京,杭州
南京,苏州
宁波,苏州
乌鲁木齐,伊犁哈萨克自治州
北京,淄博
合肥,芜湖
深圳,南昌
南昌,上海
西安,咸阳
深圳,苏州
北京,深圳
北京,深圳
北京,沈阳
上海,无锡
上海,深圳
重庆,成都
北京,大连
上海,深圳
上海,温州
北京,廊坊
广州,深圳
北京,上海
深圳,九江
上海,青岛
成都,北京
上海,宁波
北京,郑州
上海,银川
郑州,上海
无锡,宁波
无锡,北京
西安,北京
绍兴,宁波
嘉兴,深圳
杭州,苏州
拉萨,银川
北京,三亚
广州,嘉兴
广州,东莞
广州,成都
深圳,伊犁哈萨克自治州
长春,深圳
天津,杭州
北京,上海
北京,深圳
金华,伊犁哈萨克自治州
成都,上海
深圳,武汉
上海,长沙
上海,无锡
宁波,上海
杭州,宁波
杭州,南京
广州,深圳
深圳,上海
杭州,北京
杭州,上海
上海,苏州
深圳,东莞
上海,郑州
杭州,嘉兴
成都,广安
北京,广州
北京,宁波
北京,南京
北京,大连
北京,西安
深圳,郑州
广州,上海
北京,郑州
北京,伊犁哈萨克自治州
上海,拉萨
新余,北京
上海,扬州
上海,沈阳
湖州,上海
北京,张家口
北京,赣州
合肥,北京
长春,北京
中山,上海
中山,广州
厦门,新余
海口,北京
伊犁哈萨克自治州,北京
北京,上海
金华,北京
上海,盐城
北京,天津
绍兴,杭州
北京,深圳
天津,上海
长春,深圳
深圳,上海
深圳,上海
上海,苏州
哈尔滨,深圳
深圳,西安
深圳,伊犁哈萨克自治州
北京,宁波
南京,上海
杭州,宁波
杭州,北京
北京,深圳
上海,宁波
深圳,上海
拉萨,宁波
拉萨,北京
拉萨,深圳
北京,天津
北京,保定
北京,青岛
北京,成都
廊坊,嘉兴
上海,嘉兴
北京,青岛
北京,珠海
宁波,上海
上海,三亚
上海,烟台
南通,上海
舟山,上海
杭州,丽水
乌鲁木齐,北京
长沙,北京
北京,秦皇岛
北京,喀什地区
北京,唐山
广州,杭州
长春,湖州
武汉,宁波
西安,渭南
上海,苏州
深圳,北京
深圳,北京
上海,嘉兴
厦门,福州
天津,北京
北京,昆明
厦门,北京
西安,北京
深圳,广州
杭州,上海
北京,天津
上海,杭州
广州,深圳
北京,西安
北京,武汉
北京,杭州
上海,合肥
上海,广州
嘉兴,上海
广州,上海
深圳,长沙
深圳,杭州
苏州,北京
深圳,广州
北京,成都
杭州,上海
上海,北京
保山,深圳
南京,镇江
石家庄,唐山
杭州,合肥
拉萨,苏州
北京,临沂
北京,泰州
惠州,深圳
上海,青岛
上海,宁波
成都,绵阳
成都,深圳
上海,合肥
上海,大连
上海,天津
北京,深圳
深圳,广州
天津,深圳
东莞,深圳
天津,上海
杭州,北京
北京,长沙
北京,上海
上海,杭州
深圳,海口
武汉,天津
杭州,嘉兴
天津,上海
天津,北京
乌鲁木齐,阿克苏地区
北京,广州
北京,成都
北京,苏州
深圳,上海
杭州,绍兴
杭州,湖州
上海,深圳
杭州,宁波
拉萨,上海
北京,廊坊
北京,济南
深圳,武汉
湖州,杭州
上海,武汉
北京,廊坊
深圳,拉萨
杭州,深圳
北京,深圳
上海,宜春
苏州,无锡
南京,无锡
西安,上海
石家庄,保定
石家庄,沧州
舟山,杭州
杭州,南京
乌鲁木齐,上海
成都,重庆
银川,伊犁哈萨克自治州
北京,台州
北京,鄂尔多斯
芜湖,上海
深圳,常州
沈阳,北京
东莞,上海
福州,深圳
天津,广州
天津,苏州
深圳,北京
宁波,北京
嘉兴,上海
苏州,上海
深圳,惠州
杭州,湖州
杭州,嘉兴
北京,石家庄
北京,杭州
天津,北京
上海,厦门
上海,杭州
深圳,上海
上海,深圳
上海,长沙
武汉,深圳
杭州,金华
杭州,成都
杭州,武汉
上海,苏州
重庆,成都
上海,苏州
温州,湖州
北京,成都
北京,广州
北京,青岛
上海,北京
北京,深圳
北京,无锡
上海,南通
上海,无锡
宁波,杭州
杭州,北京
拉萨,北京
北京,长沙
北京,哈尔滨
北京,保定
北京,苏州
珠海,深圳
深圳,南京
福州,北京
上海,西安
新余,上海
北京,拉萨
北京,伊犁哈萨克自治州
厦门,上海
上海,成都
上海,杭州
深圳,武汉
深圳,成都
北京,石家庄
深圳,上海
宁波,杭州
厦门,北京
昆明,红河哈尼族彝族自治州
昆明,丽江
太原,北京
上海,宿州
上海,太原
温州,杭州
哈尔滨,北京
拉萨,天津
成都,拉萨
北京,舟山
北京,大同
深圳,无锡
深圳,大连
深圳,贵阳
深圳,哈尔滨
东莞,广州
鹰潭,广州
上海,金华
北京,上海
东莞,苏州
南通,上海
无锡,上海
深圳,广州
九江,赣州
上海,盐城
无锡,上海
青岛,潍坊
北京,哈尔滨
广州,佛山
上海,重庆
武汉,上海
北京,成都
天津,北京
杭州,宁波
北京,长春
北京,乌鲁木齐
北京,上海
北京,天津
北京,嘉兴
上海,杭州
北京,南京
广州,深圳
杭州,湖州
上海,北京
上海,深圳
宁波,上海
拉萨,北京
上海,宁波
上海,南通
上海,宁波
深圳,成都
深圳,青岛
合肥,上海
北京,长沙
南京,北京
天津,深圳
嘉兴,上海
北京,保定
深圳,珠海
徐州,嘉兴
济南,烟台
金华,杭州
宁波,成都
乌鲁木齐,深圳
成都,杭州
北京,绍兴
北京,镇江
芜湖,北京
珠海,嘉兴
深圳,舟山
深圳,乌鲁木齐
深圳,海口
泉州,厦门
九江,北京
海口,深圳
北京,天津
天津,北京
北京,天津
苏州,南通
苏州,无锡
济南,德州
杭州,嘉兴
深圳,南京
上海,宁波
上海,无锡
上海,湖州
惠州,深圳
上海,深圳
广州,上海
苏州,上海
无锡,上海
北京,成都
杭州,嘉兴
厦门,漳州
南通,上海
南京,苏州
成都,南充
北京,长沙
天津,深圳
深圳,重庆
深圳,苏州
上海,南昌
深圳,北京
上海,福州
北京,天津
深圳,成都
杭州,上海
北京,郑州
上海,嘉兴
深圳,杭州
武汉,北京
杭州,广州
杭州,嘉兴
北京,呼和浩特
苏州,北京
济南,北京
成都,北京
深圳,宁波
上海,嘉兴
杭州,宁波
苏州,上海
北京,鹰潭
苏州,上海
天津,宁波
天津,深圳
上海,南通
上海,南京
上海,深圳
北京,张家口
上海,成都
合肥,北京
上海,郑州
上海,无锡
上海,北京
深圳,西安
北京,天津
北京,黔东南苗族侗族自治州
深圳,北京
昆明,深圳
昆明,北京
上海,长春
上海,包头
上海,徐州
苏州,杭州
南宁,柳州
宁波,舟山
杭州,广州
杭州,新余
拉萨,南京
成都,德阳
成都,乐山
芜湖,珠海
深圳,金华
中山,深圳
福州,北京
厦门,宁波
山南地区,嘉兴
北京,嘉兴
北京,无锡
上海,北京
宁波,金华
宁波,上海
广州,深圳
常州,上海
温州,上海
镇江,上海
苏州,北京
广州,深圳
上海,常州
上海,无锡
北京,廊坊
郑州,驻马店
哈尔滨,双鸭山
北京,唐山
北京,太原
北京,南昌
北京,南京
中卫,吴忠
珠海,深圳
上海,武汉
重庆,深圳
郑州,北京
北京,西安
北京,青岛
广州,深圳
长沙,北京
上海,南通
北京,福州
北京,无锡
南京,北京
广州,北京
天津,深圳
嘉兴,杭州
北京,珠海
上海,杭州
北京,深圳
苏州,北京
贵阳,黔东南苗族侗族自治州
苏州,北京
珠海,广州
重庆,嘉兴
拉萨,嘉兴
成都,深圳
上海,苏州
南京,张家口
北京,苏州
北京,西安
北京,济南
北京,天津
北京,合肥
北京,哈尔滨
北京,郑州
福州,莆田
深圳,北京
深圳,成都
深圳,苏州
杭州,上海
上海,武汉
厦门,泉州
天津,上海
深圳,郑州
拉萨,成都
宜春,北京
北京,南昌
北京,西安
北京,青岛
北京,上海
广州,深圳
杭州,嘉兴
北京,太原
北京,武汉
上海,杭州
上海,深圳
上海,威海
上海,马鞍山
苏州,珠海
南宁,深圳
拉萨,芜湖
长沙,娄底
北京,衢州
北京,东莞
北京,惠州
北京,兰州
北京,遵义
廊坊,北京
合肥,安庆
珠海,湖州
广州,新余
广州,天津
深圳,湖州
重庆,嘉兴
武汉,南昌
厦门,杭州
厦门,漳州
南昌,九江
海口,上海
伊犁哈萨克自治州,上海
天津,青岛
上海,北京
北京,武汉
上海,北京
成都,德阳
北京,沧州
北京,深圳
北京,武汉
北京,青岛
广州,深圳
深圳,北京
东莞,广州
深圳,上海
泉州,南平
北京,天津
北京,青岛
郑州,开封
杭州,湖州
哈尔滨,绥化
北京,宁波
深圳,青岛
大连,沈阳
贵阳,黔南布依族苗族自治州
惠州,深圳
福州,上海
杭州,上海
深圳,广州
上海,苏州
上海,重庆
上海,天津
上海,济南
深圳,南昌
武汉,上海
杭州,合肥
杭州,湖州
杭州,伊犁哈萨克自治州
北京,喀什地区
北京,南昌
上海,深圳
北京,广州
北京,青岛
上海,南京
上海,南京
深圳,重庆
深圳,上海
宁波,北京
北京,烟台
北京,深圳
深圳,天津
长春,吉林
北京,成都
北京,南京
北京,廊坊
北京,郑州
北京,重庆
北京,郑州
北京,伊犁哈萨克自治州
北京,南京
上海,杭州
北京,石家庄
北京,长春
宁波,苏州
天津,北京
上海,常州
上海,大连
杭州,绍兴
哈尔滨,北京
珠海,上海
珠海,深圳
孝感,北京
舟山,上海
杭州,广州
宜春,上海
成都,北京
北京,石家庄
北京,宁波
北京,无锡
北京,济南
无锡,上海
济南,北京
伊犁哈萨克自治州,北京
上海,苏州
上海,南京
北京,南京
北京,烟台
北京,沈阳
宁波,上海
拉萨,宁波
上海,嘉兴
上海,天津
天津,深圳
杭州,上海
上海,杭州
常州,上海
石家庄,邯郸
绍兴,上海
鄂尔多斯,宁波
成都,绵阳
北京,包头
芜湖,合肥
珠海,杭州
珠海,成都
深圳,长春
大连,深圳
福州,泉州
南昌,深圳
北京,宁波
长沙,常德
青岛,潍坊
北京,唐山
上海,深圳
上海,嘉兴
深圳,东莞
新余,赣州
济南,德州
太原,吕梁
深圳,广州
上海,绍兴
乌鲁木齐,昌吉回族自治州
西安,上海
青岛,上海
杭州,舟山
成都,内江
北京,合肥
北京,重庆
北京,拉萨
北京,呼和浩特
北京,苏州
长沙,常德
合肥,滁州
深圳,郑州
上海,济南
深圳,广州
厦门,泉州
深圳,东莞
宁波,上海
北京,成都
北京,青岛
上海,南京
济南,北京
天津,宁波
北京,武汉
杭州,宁波
深圳,北京
长沙,深圳
上海,青岛
深圳,合肥
广州,成都
宁波,北京
杭州,徐州
郑州,北京
北京,兰州
北京,厦门
南京,深圳
北京,郑州
北京,南京
上海,成都
北京,成都
北京,天津
北京,成都
深圳,东莞
长春,吉林
天津,北京
深圳,厦门
杭州,北京
成都,宁波
北京,永州
北京,青岛
上海,金华
北京,石家庄
北京,青岛
北京,长沙
北京,南京
深圳,广州
上海,北京
北京,南京
北京,大连
深圳,合肥
上海,潍坊
南京,北京
南京,上海
嘉兴,北京
北京,沈阳
深圳,昆明
深圳,东莞
深圳,苏州
重庆,北京
嘉兴,杭州
上海,嘉兴
上海,天津
武汉,北京
上海,杭州
上海,石家庄
嘉兴,深圳
杭州,上海
苏州,北京
上海,成都
昆明,楚雄彝族自治州
上海,东莞
上海,呼和浩特
上海,盐城
上海,贵阳
南京,泰州
南京,南通
南宁,贵港
济南,潍坊
金华,上海
